iter	Passed	Remaining
551	11014	8939
552	11028	8914
553	11041	8889
554	11054	8863
555	11072	8842
556	11088	8819
557	11103	8795
558	11116	8769
559	11129	8744
560	11142	8719
561	11169	8705
562	11184	8681
563	11197	8656
564	11211	8631
565	11223	8606
566	11237	8582
567	11249	8556
568	11263	8531
569	11276	8506
570	11290	8482
571	11306	8460
572	11318	8434
573	11351	8424
574	11368	8402
575	11384	8380
576	11397	8355
577	11409	8330
578	11427	8308
579	11440	8284
580	11454	8260
581	11467	8236
582	11481	8212
583	11501	8192
584	11515	8169
585	11551	8160
586	11563	8136
587	11579	8113
588	11593	8089
589	11605	8064
590	11639	8054
591	11651	8030
592	11666	8007
593	11683	7985
594	11699	7963
595	11713	7939
596	11752	7933
597	11765	7909
598	11778	7885
599	11791	7861
600	11804	7836
601	11832	7822
602	11847	7799
603	11859	7775
604	11872	7751
605	11905	7740
606	11921	7718
607	11935	7695
608	11949	7671
609	11962	7647
610	11978	7626
611	11991	7602
612	12004	7578
613	12017	7555
614	12030	7531
615	12046	7509
616	12074	7495
617	12102	7480
618	12114	7456
619	12129	7434
620	12142	7410
621	12156	7387
622	12172	7365
623	12185	7342
624	12200	7320
625	12213	7296
626	12226	7273
627	12239	7250
628	12252	7226
629	12289	7217
630	12312	7200
631	12324	7176
632	12339	7154
633	12352	7131
634	12365	7107
635	12380	7085
636	12394	7063
637	12408	7040
638	12421	7017
639	12434	6994
640	12466	6982
641	12484	6961
642	12496	6938
643	12511	6916
644	12524	6893
645	12537	6870
646	12552	6848
647	12564	6825
648	12576	6801
649	12595	6782
650	12608	6759
651	12651	6752
652	12670	6732
653	12685	6711
654	12698	6688
655	12711	6665
656	12723	6642
657	12736	6619
658	12750	6597
659	12763	6574
660	12778	6553
661	12791	6530
662	12827	6520
663	12842	6498
664	12855	6476
665	12877	6457
666	12890	6435
667	12904	6413
668	12918	6391
669	12930	6368
670	12948	6348
671	12961	6326
672	12975	6304
673	13002	6288
674	13030	6273
675	13045	6252
676	13061	6231
677	13074	6209
678	13086	6186
679	13102	6166
680	13115	6143
681	13130	6122
682	13143	6100
683	13176	6087
684	13192	6066
685	13211	6047
686	13224	6024
687	13236	6002
688	13251	5981
689	13264	5959
690	13280	5938
691	13293	5916
692	13306	5894
693	13321	5873
694	13349	5858
695	13374	5841
696	13387	5819
697	13411	5802
698	13424	5780
699	13436	5758
700	13453	5738
701	13466	5716
702	13480	5695
703	13493	5673
704	13505	5651
705	13552	5643
706	13565	5621
707	13579	5600
708	13592	5578
709	13612	5559
710	13625	5538
711	13638	5516
712	13652	5495
713	13665	5473
714	13678	5452
715	13691	5430
716	13728	5418
717	13742	5397
718	13759	5377
719	13778	5358
720	13791	5336
721	13808	5316
722	13821	5295
723	13836	5274
724	13850	5253
725	13865	5232
726	13877	5211
727	13890	5189
728	13904	5169
729	13917	5147
730	13955	5135
731	13969	5114
732	13984	5093
733	13998	5072
734	14010	5051
735	14026	5031
736	14040	5010
737	14057	4990
738	14071	4969
739	14090	4950
740	14106	4930
741	14120	4909
742	14159	4897
743	14178	4878
744	14236	4872
745	14250	4851
746	14269	4832
747	14284	4812
748	14297	4791
749	14340	4780
750	14386	4769
751	14419	4755
752	14435	4735
753	14466	4719
754	14480	4698
755	14504	4681
756	14518	4660
757	14532	4639
758	14565	4624
759	14643	4624
760	14661	4604
761	14717	4596
762	14731	4575
763	14759	4559
764	14773	4538
765	14790	4518
766	14804	4497
767	14817	4476
768	14847	4459
769	14873	4442
770	14906	4427
771	14919	4406
772	14938	4386
773	14954	4366
774	14967	4345
775	14988	4326
776	15007	4307
777	15034	4290
778	15056	4271
779	15099	4258
780	15112	4237
781	15129	4217
782	15150	4198
783	15173	4180
784	15187	4159
785	15201	4138
786	15263	4131
787	15281	4111
788	15315	4095
789	15329	4075
790	15365	4059
791	15381	4039
792	15418	4024
793	15430	4003
794	15472	3989
795	15491	3970
796	15522	3953
797	15543	3934
798	15586	3920
799	15599	3899
800	15626	3882
801	15654	3864
802	15696	3850
803	15714	3830
804	15735	3811
805	15749	3790
806	15771	3771
807	15784	3750
808	15798	3730
809	15829	3712
810	15861	3696
811	15903	3682
812	15919	3661
813	15940	3642
814	15954	3621
815	15968	3600
816	16005	3585
817	16075	3576
818	16103	3558
819	16134	3541
820	16159	3523
821	16172	3501
822	16185	3480
823	16232	3467
824	16245	3446
825	16273	3428
826	16290	3407
827	16324	3391
828	16339	3370
829	16360	3351
830	16413	3337
831	16452	3322
832	16484	3304
833	16505	3285
834	16543	3269
835	16576	3251
836	16589	3230
837	16621	3213
838	16645	3194
839	16695	3180
840	16709	3159
841	16724	3138
842	16736	3117
843	16750	3096
